,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,target,pred_prob_logreg,P_Rank_logreg,pred_prob_dtree,P_Rank_tree,pred_prob_rf,P_Rank_rf,pred_prob_gbm,P_Rank_GBM,pred_prob_stacking,P_Rank_stacking,Tenure_Rank,Tenure_Segment,MonthlyCharges_Rank,Monthly_Charge_Segment,Predicted_Churn_Rank
99,Female,1,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,1,0.6402253721085659,9,0.6728110599078341,9,0.5233073195339155,9,0.8393376217787716,10,0.6234159329624325,9,5,Low Tenure,9,High Charges,Top 3
110,Male,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,1,0.24319932983193535,6,0.4074074074074074,8,0.32358157634375145,7,0.4027960265823167,8,0.2851730172729491,7,8,High Tenure,9,High Charges,Top 3
117,Female,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1,0.596626831000895,9,0.6728110599078341,9,0.5720372691383653,9,0.7821262936163202,10,0.6708646507878409,9,3,Low Tenure,9,High Charges,Top 3
151,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1,0.5429713597324768,9,0.5555555555555556,9,0.5753078731473409,9,0.7279990051616863,10,0.6644780231490149,9,3,Low Tenure,9,High Charges,Top 3
238,Female,1,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.0,1120.3,1,0.7220146987987619,10,0.6728110599078341,9,0.6250444415906943,10,0.7429210556750379,10,0.7227127159915732,10,3,Low Tenure,9,High Charges,Top 3
270,Female,1,No,No,16,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,94.45,1511.2,1,0.6380352156988732,9,0.6728110599078341,9,0.5318590550875202,9,0.6121390631893325,9,0.588068772589671,9,4,Low Tenure,9,High Charges,Top 3
284,Male,0,Yes,Yes,18,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,95.15,1779.95,1,0.4447938427208695,8,0.31561461794019935,7,0.36052661823880955,7,0.5340211749551663,8,0.351418102334937,8,4,Low Tenure,9,High Charges,Top 3
297,Male,1,Yes,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.8,3437.5,0,0.6435865929047216,9,0.4074074074074074,8,0.4757492209447694,8,0.4879508963699178,8,0.48872607446742294,8,6,Low Tenure,9,High Charges,Top 3
301,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,396.1,1,0.8081363508875302,10,0.6728110599078341,9,0.6946372330366565,10,0.850350365629352,10,0.8046817764790406,10,2,Low Tenure,9,High Charges,Top 3
365,Male,0,No,No,5,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.5,492.55,1,0.6076979007372288,9,0.8095238095238095,10,0.631623680938921,10,0.5455242748993162,9,0.695257706374033,10,2,Low Tenure,9,High Charges,Top 3
390,Female,0,No,No,27,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,2595.25,0,0.5797264677899393,9,0.31561461794019935,7,0.38469745105045683,8,0.41454925430367207,8,0.3573095533762738,8,5,Low Tenure,9,High Charges,Top 3
402,Male,0,Yes,Yes,69,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.45,7007.6,1,0.26959183742184206,7,0.16115702479338842,5,0.26928218864091275,6,0.725963646784366,10,0.28287762867568633,7,9,High Tenure,9,High Charges,Top 3
448,Male,0,Yes,Yes,8,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,759.55,0,0.7299398901572152,10,0.6728110599078341,9,0.6442048199944201,10,0.6320962884408652,9,0.7240556946143767,10,3,Low Tenure,9,High Charges,Top 3
462,Male,0,Yes,Yes,4,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,101.15,385.9,1,0.6549404266672888,9,0.5294117647058824,8,0.6629867333314121,10,0.8673902617001177,10,0.7796452439687191,10,2,Low Tenure,9,High Charges,Top 3
463,Male,0,No,No,7,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,673.25,1,0.69971691120609,10,0.6728110599078341,9,0.6595152094436885,10,0.8831611294419716,10,0.7788059810825605,10,3,Low Tenure,9,High Charges,Top 3
478,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.1,453.4,1,0.659993713635498,9,0.6728110599078341,9,0.6597985212208965,10,0.8649219529928199,10,0.7763827909902514,10,2,Low Tenure,9,High Charges,Top 3
486,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.15,1415.0,0,0.648847376453445,9,0.6728110599078341,9,0.5876744958627761,9,0.5539705459250169,9,0.6457748916250224,9,4,Low Tenure,9,High Charges,Top 3
499,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),99.7,1238.45,1,0.4613448545825337,8,0.8461538461538461,10,0.4611335219911561,8,0.7744666949052087,10,0.5303289654684339,9,3,Low Tenure,9,High Charges,Top 3
524,Male,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.05,3480.0,1,0.6078891522160847,9,0.4074074074074074,8,0.46688481901803686,8,0.7727455636727179,10,0.5375028450664399,9,6,Low Tenure,9,High Charges,Top 3
566,Male,0,Yes,Yes,15,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,No,Electronic check,101.9,1667.25,0,0.23575398360259264,6,0.2916666666666667,6,0.39717856890990805,8,0.6558191423189359,9,0.42159337325434393,8,4,Low Tenure,9,High Charges,Top 3
568,Female,0,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,3527.6,1,0.5953710862848043,9,0.4074074074074074,8,0.4598861760383048,8,0.5828483177157715,9,0.4880055842717127,8,6,Low Tenure,9,High Charges,Top 3
645,Male,1,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,1,0.7281683651713501,10,0.6728110599078341,9,0.5304472579658497,9,0.687741604805817,9,0.6017630043700817,9,5,Low Tenure,9,High Charges,Top 3
655,Male,0,No,No,10,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.1,865.1,0,0.5247683507308425,9,0.8095238095238095,10,0.5600757062061738,9,0.7021169079815028,9,0.6413174634766937,9,3,Low Tenure,9,High Charges,Top 3
724,Male,1,Yes,No,33,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,1,0.6471580212664143,9,0.6728110599078341,9,0.4946301643739621,9,0.5593375186324184,9,0.5287239274741095,9,6,Low Tenure,9,High Charges,Top 3
742,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,98.55,1008.55,1,0.49108313596296854,8,0.2916666666666667,6,0.5561190140706217,9,0.7334410982111128,10,0.6426475531150972,9,3,Low Tenure,9,High Charges,Top 3
755,Male,1,No,No,20,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,1,0.7213342868395759,10,0.6728110599078341,9,0.5455824560597108,9,0.8507955519527917,10,0.6527465187860022,9,5,Low Tenure,9,High Charges,Top 3
774,Male,0,Yes,No,33,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,95.8,3036.75,1,0.4734746203269864,8,0.6728110599078341,9,0.4004212113229287,8,0.4852663552707979,8,0.39075665557035383,8,6,Low Tenure,9,High Charges,Top 3
801,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,1058.25,1,0.6378799636034929,9,0.6728110599078341,9,0.6144824195738732,10,0.8511790556034382,10,0.7299465181243665,10,3,Low Tenure,9,High Charges,Top 3
808,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,4113.1,1,0.5024948142345342,8,0.4074074074074074,8,0.42448860191926063,8,0.6135796066529582,9,0.4481122727873727,8,7,High Tenure,9,High Charges,Top 3
826,Male,1,Yes,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,1,0.7512923460851455,10,0.8095238095238095,10,0.6373242170522788,10,0.8231226666095938,10,0.7485339448566173,10,3,Low Tenure,9,High Charges,Top 3
863,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,307.4,1,0.720891680013273,10,0.6728110599078341,9,0.6880287989780449,10,0.8318788716792539,10,0.7966212231586551,10,2,Low Tenure,9,High Charges,Top 3
864,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.65,2104.55,1,0.5753611618763749,9,0.31561461794019935,7,0.3960856136470026,8,0.47692021992962763,8,0.38365514142443674,8,5,Low Tenure,9,High Charges,Top 3
898,Female,0,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.9,1120.95,1,0.40354758991991957,8,0.8461538461538461,10,0.46424675537304666,8,0.746234813849308,10,0.5284353106986003,9,3,Low Tenure,9,High Charges,Top 3
901,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.3,923.5,1,0.5477487726988437,9,0.8095238095238095,10,0.563218217327231,9,0.861071775196704,10,0.6754096248527802,9,3,Low Tenure,9,High Charges,Top 3
905,Male,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,1,0.7867688139713581,10,0.6728110599078341,9,0.6770441870760551,10,0.8563634605291283,10,0.7905537844903952,10,3,Low Tenure,9,High Charges,Top 3
948,Male,1,No,No,35,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,1,0.637055925818637,9,0.4074074074074074,8,0.47488692199553895,8,0.5198404953913801,8,0.49436579645297707,8,6,Low Tenure,9,High Charges,Top 3
954,Male,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2162.6,0,0.6730925405146775,10,0.6728110599078341,9,0.5383687255577047,9,0.4481598384991423,8,0.5623944498613829,9,5,Low Tenure,9,High Charges,Top 3
965,Male,1,No,No,8,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,1,0.3385248662133017,7,0.8095238095238095,10,0.4916133201831866,9,0.8169614500494532,10,0.5788664969860391,9,3,Low Tenure,9,High Charges,Top 3
969,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,174.8,1,0.7806050364916757,10,0.6728110599078341,9,0.7221674501657657,10,0.8836919315551598,10,0.8304976043946938,10,1,Low Tenure,9,High Charges,Top 3
997,Female,1,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,1,0.8088366513369178,10,0.6728110599078341,9,0.6896425267700157,10,0.8636987292748733,10,0.8023197726560521,10,2,Low Tenure,9,High Charges,Top 3
1000,Female,0,No,No,7,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,660.9,1,0.7517558345191863,10,0.6728110599078341,9,0.678225060010884,10,0.7710888786571328,10,0.7793702018764698,10,3,Low Tenure,9,High Charges,Top 3
1008,Male,0,Yes,Yes,32,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.55,3204.65,1,0.34909646647384557,7,0.31561461794019935,7,0.30719692114179353,7,0.5659982129143873,9,0.29598020794055674,7,6,Low Tenure,9,High Charges,Top 3
1012,Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.9,827.45,0,0.5743162574772823,9,0.8095238095238095,10,0.5837660020654548,9,0.6754691325103772,9,0.6644548809081383,9,3,Low Tenure,9,High Charges,Top 3
1026,Male,1,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,1,0.7913592704477532,10,0.6728110599078341,9,0.6911540857838504,10,0.8873378217950156,10,0.8067317126700961,10,3,Low Tenure,9,High Charges,Top 3
1045,Female,0,Yes,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),99.3,4209.95,0,0.45041928335462006,8,0.31561461794019935,7,0.3146148680321889,7,0.6834807724356559,9,0.325726031298119,7,7,High Tenure,9,High Charges,Top 3
1054,Male,0,Yes,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.1,3706.95,1,0.48281609318361046,8,0.31561461794019935,7,0.3415759038110162,7,0.5136635340076803,8,0.3252104398853514,7,7,High Tenure,9,High Charges,Top 3
1073,Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.05,713.0,1,0.7076969264944949,10,0.8095238095238095,10,0.6532478077622162,10,0.8825756419720595,10,0.7729798258906527,10,3,Low Tenure,9,High Charges,Top 3
1081,Male,1,Yes,No,46,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.85,4564.9,0,0.5733014461471073,9,0.4074074074074074,8,0.4259589318118104,8,0.5783133543476584,9,0.44262034652205057,8,7,High Tenure,9,High Charges,Top 3
1088,Male,1,Yes,No,17,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,1,0.6619072720927653,9,0.31561461794019935,7,0.4233695278567935,8,0.6130047497922961,9,0.4465343016104422,8,4,Low Tenure,9,High Charges,Top 3
1111,Female,0,No,No,4,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.4,387.2,1,0.4527261721776427,8,0.8095238095238095,10,0.5769299639715542,9,0.816819263715646,10,0.6829491078075306,9,2,Low Tenure,9,High Charges,Top 3
1148,Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.15,196.9,1,0.7812337199369805,10,0.6728110599078341,9,0.7186886202535037,10,0.818962177699567,10,0.8199210551782198,10,1,Low Tenure,9,High Charges,Top 3
1149,Male,0,Yes,Yes,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,96.65,1162.85,1,0.5924404507389742,9,0.8461538461538461,10,0.5059618013402853,9,0.8518506665401868,10,0.6042849498724289,9,4,Low Tenure,9,High Charges,Top 3
1160,Female,1,Yes,No,23,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.1,2326.05,0,0.5807345226057944,9,0.6728110599078341,9,0.4740747923423876,8,0.46292678653069586,8,0.48121040350845123,8,5,Low Tenure,9,High Charges,Top 3
1172,Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.4,3217.65,0,0.5790993614453527,9,0.6728110599078341,9,0.455412438753042,8,0.6784428736859486,9,0.5024272058816472,8,6,Low Tenure,9,High Charges,Top 3
1178,Male,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1553.95,1,0.6032379317323371,9,0.6728110599078341,9,0.5402852248622328,9,0.611644413646422,9,0.5986749453832272,9,4,Low Tenure,9,High Charges,Top 3
1188,Female,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,99.25,3532.0,0,0.3558659125471579,7,0.14516129032258066,5,0.33150258339133515,7,0.41212559017899686,8,0.29540110066405456,7,6,Low Tenure,9,High Charges,Top 3
1238,Female,1,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,1,0.7495990101053133,10,0.6728110599078341,9,0.5941351658390395,9,0.8205922625091505,10,0.7029079326023501,10,4,Low Tenure,9,High Charges,Top 3
1310,Female,0,Yes,No,34,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.65,3207.55,1,0.5918971965728915,9,0.4074074074074074,8,0.48501849255084645,8,0.7097446168026573,10,0.5479148905045907,9,6,Low Tenure,9,High Charges,Top 3
1359,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,889.9,1,0.7465622946743579,10,0.6728110599078341,9,0.672604592222573,10,0.6935359307064527,9,0.7625072123021014,10,3,Low Tenure,9,High Charges,Top 3
1360,Female,1,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290.0,1,0.7670341998235652,10,0.6728110599078341,9,0.6155093076596485,10,0.5464910625327463,9,0.6771630303294085,9,4,Low Tenure,9,High Charges,Top 3
1401,Female,1,No,No,4,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,1,0.6781864102397457,10,0.8095238095238095,10,0.629236268598969,10,0.9447598100648938,10,0.7598040636809096,10,2,Low Tenure,9,High Charges,Top 3
1423,Male,0,Yes,No,15,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.1,1504.05,1,0.7177577534600568,10,0.6728110599078341,9,0.6053975977931719,9,0.8494881766845008,10,0.7201215890608953,10,4,Low Tenure,9,High Charges,Top 3
1434,Male,0,No,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,99.95,1132.75,1,0.5043060687743892,8,0.8461538461538461,10,0.4981657890390061,9,0.9028888156864864,10,0.6048403271561887,9,3,Low Tenure,9,High Charges,Top 3
1445,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,98.55,2031.95,0,0.45641878113204015,8,0.31561461794019935,7,0.3659684201839734,7,0.4455320169487697,8,0.3408814156392962,8,5,Low Tenure,9,High Charges,Top 3
1453,Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,2979.2,0,0.5381863962926889,9,0.6728110599078341,9,0.47014971902550223,8,0.4902633769001765,8,0.48185051453446265,8,6,Low Tenure,9,High Charges,Top 3
1456,Female,0,Yes,No,16,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.0,1534.75,1,0.6463101812062643,9,0.6728110599078341,9,0.569894508934439,9,0.8774634467009509,10,0.6860792125482603,9,4,Low Tenure,9,High Charges,Top 3
1473,Female,0,No,No,24,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.75,2407.3,1,0.6621397184260361,9,0.6728110599078341,9,0.533239298672963,9,0.8826745647206129,10,0.6441039775659215,9,5,Low Tenure,9,High Charges,Top 3
1482,Female,1,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.85,1235.55,0,0.7616409860323645,10,0.6728110599078341,9,0.6140797391759066,10,0.62844957969032,9,0.6905950537046255,10,4,Low Tenure,9,High Charges,Top 3
1485,Male,1,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,1,0.715586658976829,10,0.6728110599078341,9,0.5419428271227325,9,0.752379676145979,10,0.6290882385710672,9,5,Low Tenure,9,High Charges,Top 3
1526,Female,0,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,95.4,293.15,0,0.6120594231543325,9,0.5294117647058824,9,0.6422732076516356,10,0.5414445454493848,9,0.7062911374858503,10,2,Low Tenure,9,High Charges,Top 3
1538,Male,0,No,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,100.85,819.55,1,0.585634099340541,9,0.5294117647058824,9,0.6184958538354248,10,0.7291650225468116,10,0.7133629665839422,10,3,Low Tenure,9,High Charges,Top 3
1558,Female,0,No,No,16,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),95.6,1555.65,1,0.5409066389316253,9,0.31561461794019935,7,0.414773067594314,8,0.42026436363594516,8,0.3956086544982384,8,4,Low Tenure,9,High Charges,Top 3
1564,Male,1,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,1,0.7768061313760145,10,0.6728110599078341,9,0.6736105721354795,10,0.7983415897419479,10,0.7791743794003619,10,3,Low Tenure,9,High Charges,Top 3
1575,Male,0,No,No,66,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,99.5,6710.5,1,0.22799737670285683,6,0.4074074074074074,8,0.34655779519969776,7,0.6807889898089702,9,0.3631711391826611,8,9,High Tenure,9,High Charges,Top 3
1577,Female,0,Yes,Yes,17,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),98.6,1704.95,1,0.28123337310471946,7,0.1794871794871795,6,0.29426890540480666,7,0.5078063531295476,8,0.2720849686540871,7,4,Low Tenure,9,High Charges,Top 3
1618,Female,1,No,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.75,2293.6,1,0.6505826437101131,9,0.6728110599078341,9,0.5236884068153353,9,0.6741680024991518,9,0.5904146937922174,9,5,Low Tenure,9,High Charges,Top 3
1624,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,98.25,5508.35,1,0.2788429430920681,7,0.14516129032258066,5,0.28399418395496384,7,0.39039110725199117,8,0.2426890122063178,7,8,High Tenure,9,High Charges,Top 3
1630,Male,1,Yes,No,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,102.6,4009.2,0,0.573094037402032,9,0.4074074074074074,8,0.4381052688007733,8,0.5506865950410349,9,0.4526314858787434,8,6,Low Tenure,9,High Charges,Top 3
1663,Male,0,Yes,No,51,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.65,4812.75,1,0.46885596042385025,8,0.4074074074074074,8,0.40576113858855206,8,0.44752894889630573,8,0.38981597596821665,8,8,High Tenure,9,High Charges,Top 3
1664,Female,0,No,No,46,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),96.05,4399.5,1,0.33005796923563824,7,0.31561461794019935,7,0.3102202459358923,7,0.5677470072472983,9,0.2996209100865833,7,7,High Tenure,9,High Charges,Top 3
1701,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),102.45,6615.15,1,0.15560976173483076,5,0.16115702479338842,6,0.19111774263857367,5,0.46028651535869075,8,0.1725368812493336,6,9,High Tenure,9,High Charges,Top 3
1704,Male,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.75,99.75,1,0.7686154932361055,10,0.8842105263157894,10,0.7330935887441382,10,0.9539647392389438,10,0.8463738997740471,10,1,Low Tenure,9,High Charges,Top 3
1724,Female,0,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.9,273.2,0,0.6811592755198298,10,0.5294117647058824,9,0.6757151782673004,10,0.6842042388088723,9,0.7640342045751239,10,2,Low Tenure,9,High Charges,Top 3
1799,Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.7,973.25,1,0.6092916433554505,9,0.6728110599078341,9,0.6002440615191341,9,0.8803126227004634,10,0.7199317955556236,10,3,Low Tenure,9,High Charges,Top 3
1836,Male,0,No,No,24,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,96.0,2122.45,1,0.5206208229897988,8,0.6728110599078341,9,0.47214040119296685,8,0.6788856470187387,9,0.5245278725815167,9,5,Low Tenure,9,High Charges,Top 3
1926,Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.8,4872.45,1,0.47653324501328714,8,0.4074074074074074,8,0.3812016526963225,8,0.598965699431533,9,0.38966691471985876,8,7,High Tenure,9,High Charges,Top 3
1980,Male,0,No,No,10,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,95.25,1021.55,0,0.677939935300584,10,0.6728110599078341,9,0.6402956488192285,10,0.7640815912105351,10,0.7419774638333833,10,3,Low Tenure,9,High Charges,Top 3
2012,Female,0,Yes,No,47,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,98.75,4533.7,1,0.2880085808736542,7,0.4074074074074074,8,0.34132708411995105,7,0.5498260771731025,9,0.3317014873333376,7,7,High Tenure,9,High Charges,Top 3
2048,Male,1,No,No,21,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),96.8,2030.3,1,0.6673612556577649,10,0.31561461794019935,7,0.40375939500665176,8,0.5787869837412343,9,0.4140967445858542,8,5,Low Tenure,9,High Charges,Top 3
2069,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.6,95.6,1,0.6646596489871608,10,0.8842105263157894,10,0.6881521497165453,10,0.8582659179282837,10,0.8003348911441835,10,1,Low Tenure,9,High Charges,Top 3
2075,Male,1,No,No,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.05,5594.0,0,0.5074621874303227,8,0.4074074074074074,8,0.39471618205374903,8,0.41752985691262556,8,0.3701066990962254,8,8,High Tenure,9,High Charges,Top 3
